image,target,tx,ty,tz,rx,ry,rz
frame_00036.png,0,9.575065343169763,-0.5851050754070286,9.256551049836911,0.023563069189079165,-0.6213677593586315,0.16892722019657855
frame_00090.png,0,9.244346108809685,-2.583431188343595,38.7217107498859,-0.09184170425346562,0.31452334004818583,0.04375598826849455
frame_00093.png,0,6.950552159775683,-2.3451951248649214,32.10971679684343,0.24127679403557534,-0.20370281275789848,0.021650929553549653
frame_00094.png,0,6.744418091501531,-2.4078913074567274,31.918325551111117,0.26138990800031875,0.48766593405289266,-0.014808850479376079
frame_00095.png,0,6.486385515028949,-2.4382178338909792,30.742321781743993,0.22917395764472315,0.5718319230655436,-0.009581096310099917
frame_00096.png,0,11.18760758346792,-0.6892464453562042,10.957316382493199,0.09612164204107412,-0.5610917044353548,0.03083963071189131
frame_00097.png,0,6.475382182222167,-2.40089648252085,30.20649054592187,0.19622401820942845,0.5541987604592844,-0.0008218296191998415
frame_00098.png,0,6.511339511371949,-2.2582167486089335,29.600718498911654,0.0038064902718621964,0.4829727448874597,0.0268063734025334
frame_00099.png,0,6.116940538495502,-2.2608853645159686,27.88846026777592,0.0630613253349855,0.5962003193711487,0.01569062611749688
frame_00100.png,0,5.762291351298116,-2.2473712917613047,26.492023606970157,0.1705530420851609,0.6775862780080049,-0.023824653410548673
frame_00101.png,0,5.4897077092770195,-2.2501508915209754,25.381596898610905,0.17863103121131674,0.7538227621181889,-0.015447540840293362
frame_00102.png,0,5.266453449046096,-2.2809180946946728,24.583531253766882,-0.03913612414030551,-0.15291721329103472,-0.01731627450063763
frame_00103.png,0,5.220469438181098,-2.366069568508607,24.59534168180955,0.2729339004737349,0.5477848777665412,-0.037095752294876216
frame_00104.png,0,4.84846497423376,-2.352891749322647,23.146203209307245,0.24198903135314648,0.6682998077418875,-0.028958703173822185
frame_00105.png,0,4.5843623749664415,-2.3735784305888896,21.980473465627007,0.13074532980162268,0.6755307429161787,0.017901432366152756
frame_00106.png,0,4.152110024344516,-2.325764333459436,20.08337137976228,0.05913194195028103,-0.21576911105755017,-0.014378533112369984
frame_00107.png,0,3.7966849347871814,-2.329740829415977,18.857628600014685,0.18955500769626493,0.7664079567641819,0.007538349726743145
frame_00108.png,0,3.5501553022249164,-2.316094006536145,17.76725698127177,0.05586301121937692,-0.2600814648854908,-0.0218309968929939
frame_00109.png,0,3.3026448028450575,-2.311665227117428,16.825697777341837,0.03514511655445082,-0.29305830160679175,-0.03466066118359263
frame_00110.png,0,3.083908458319462,-2.3757615781804717,16.165053345399606,-0.025050292522380984,-0.23234433448292605,-0.033261375193820684
frame_00111.png,0,2.8358454963731274,-2.4004611204577904,15.21880650698454,0.05244053882815894,-0.22051330997455867,-0.021223163522127733
frame_00112.png,0,2.546013679343529,-2.3813470294154797,14.076624522846782,0.018862550806348993,-0.2714221143811117,-0.028344499834638923
frame_00113.png,0,2.3192981492089104,-2.4246734098472325,13.206369803080857,0.026506687574101552,-0.24183757851449095,-0.025612123142786818
frame_00114.png,0,2.1182980074245283,-2.4695806966856466,12.489493143271838,0.054471453944340775,-0.23962814026602397,-0.030733584159548914
frame_00115.png,0,1.7528414989494558,-2.394579896870968,11.003350351690113,0.03356903033819226,-0.28586981464269334,-0.045559212734093815
frame_00116.png,0,1.4985141869309628,-2.3616535071878886,9.875541116307465,0.06074166991543864,-0.3268949068622347,-0.04550037349057206
frame_00117.png,0,1.3635870309638587,-2.485069246047789,9.575627932907091,0.09472938499105006,-0.24967655309572132,-0.04218529227128273
frame_00118.png,0,1.0834473653679493,-2.448228855514038,8.423604342344786,0.09595281362062855,-0.27293737577196997,-0.050602890094946104
frame_00119.png,0,1.02663167877119,-2.6846504479736075,8.993831660352747,-0.2363176422384407,0.07320967994434749,0.020265347576119728
frame_00120.png,0,0.8561031322387286,-2.557362462209096,8.534128287643114,-0.6621977957395042,0.1021588548607629,0.06249690481660673
frame_00121.png,0,0.6441174910533181,-2.2464365455450594,7.486593062791246,-1.004020932357951,0.1905292994975942,0.18996322286704725
frame_00139.png,0,-0.11489678399200899,-1.5657136572669967,5.196149040143959,-0.7244220784686881,0.07163878184034161,0.05681816607298373
frame_00140.png,0,-0.07624295541451918,-1.577671610014641,5.2644492786959765,-0.5616547864830453,0.10098959092441594,0.06484350894820891
frame_00141.png,0,-0.08796749466041828,-1.5505894818710726,5.220443635571092,-0.5488338181007236,0.09845577859620228,0.05426258867275997
frame_00142.png,0,-0.088000270408017,-1.5505514601236527,5.220296426280435,-0.5488522351208527,0.09846546341648385,0.054267206439970385
frame_00143.png,0,-0.0748426356297994,-1.5431324603261374,5.2468795727008,-0.5039011191824373,0.1048958171092758,0.0443954016341282
frame_00144.png,0,-0.05411741315717965,-1.5823735019303038,5.314578713118795,-0.4715454569084952,0.10703948378607411,0.05333581001844863
frame_00145.png,0,-0.05213937352074567,-1.5708666849533017,5.335037060219777,-0.37902061168560247,0.13195353056468612,0.049360447526666865
frame_00146.png,0,-0.05380732674850609,-1.5781177893170801,5.335995380368927,-0.39226087425291933,0.15254364221395617,0.0718763217772148
frame_00147.png,0,-0.05382756175743627,-1.5780745174050934,5.335938037063023,-0.3923527603494776,0.1526167995420542,0.0719242523339539
frame_00148.png,0,-0.05382096092680965,-1.5780829485091663,5.335947285733911,-0.3923173616382223,0.1525750026759578,0.07190105101300374
